"name","id","properties"
"ActionGroup.WestEurope","ActionGroup.WestEurope","@{changeNumber=2; region=westeurope; regionId=18; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.WestIndia","ActionGroup.WestIndia","@{changeNumber=1; region=westindia; regionId=23; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.WestUS","ActionGroup.WestUS","@{changeNumber=2; region=westus; regionId=37; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.WestUS2","ActionGroup.WestUS2","@{changeNumber=2; region=westus2; regionId=38; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ApiManagement.AustraliaCentral","ApiManagement.AustraliaCentral","@{changeNumber=2; region=australiacentral; regionId=58; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.AustraliaCentral2","ApiManagement.AustraliaCentral2","@{changeNumber=2; region=australiacentral2; regionId=59; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.AustraliaEast","ApiManagement.AustraliaEast","@{changeNumber=2; region=australiaeast; regionId=3; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.AustraliaSoutheast","ApiManagement.AustraliaSoutheast","@{changeNumber=2; region=australiasoutheast; regionId=4; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.BrazilSouth","ApiManagement.BrazilSouth","@{changeNumber=2; region=brazilsouth; regionId=9; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.BrazilSoutheast","ApiManagement.BrazilSoutheast","@{changeNumber=2; region=brazilse; regionId=77; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.CanadaCentral","ApiManagement.CanadaCentral","@{changeNumber=2; region=canadacentral; regionId=11; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.CanadaEast","ApiManagement.CanadaEast","@{changeNumber=2; region=canadaeast; regionId=12; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.CentralIndia","ApiManagement.CentralIndia","@{changeNumber=2; region=centralindia; regionId=21; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.CentralUS","ApiManagement.CentralUS","@{changeNumber=2; region=centralus; regionId=31; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.CentralUSEUAP","ApiManagement.CentralUSEUAP","@{changeNumber=2; region=centraluseuap; regionId=48; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.EastAsia","ApiManagement.EastAsia","@{changeNumber=2; region=eastasia; regionId=1; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.EastUS","ApiManagement.EastUS","@{changeNumber=2; region=eastus; regionId=32; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.EastUS2","ApiManagement.EastUS2","@{changeNumber=2; region=eastus2; regionId=33; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.EastUS2EUAP","ApiManagement.EastUS2EUAP","@{changeNumber=2; region=eastus2euap; regionId=49; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.FranceCentral","ApiManagement.FranceCentral","@{changeNumber=2; region=centralfrance; regionId=19; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement.FranceSouth","ApiManagement.FranceSouth","@{changeNumber=2; region=southfrance; regionId=20; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
